"Level" "Male" "Night" "Wet" "LD" "Count"
"1" 0 0 0 0 0 3
"2" 1 0 0 0 0 12
"3" 2 0 0 0 0 9
"4" 0 1 0 0 0 12
"5" 1 1 0 0 0 27
"6" 2 1 0 0 0 24
"7" 0 0 1 0 0 2
"8" 1 0 1 0 0 11
"9" 2 0 1 0 0 8
"10" 0 1 1 0 0 11
"11" 1 1 1 0 0 30
"12" 2 1 1 0 0 30
"13" 0 0 0 1 0 2
"14" 1 0 0 1 0 4
"15" 2 0 0 1 0 5
"16" 0 1 0 1 0 9
"17" 1 1 0 1 0 10
"18" 2 1 0 1 0 15
"19" 0 0 1 1 0 3
"20" 1 0 1 1 0 1
"21" 2 0 1 1 0 2
"22" 0 1 1 1 0 15
"23" 1 1 1 1 0 10
"24" 2 1 1 1 0 13
"25" 0 0 0 0 1 12
"26" 1 0 0 0 1 36
"27" 2 0 0 0 1 27
"28" 0 1 0 0 1 30
"29" 1 1 0 0 1 39
"30" 2 1 0 0 1 60
"31" 0 0 1 0 1 13
"32" 1 0 1 0 1 37
"33" 2 0 1 0 1 28
"34" 0 1 1 0 1 31
"35" 1 1 1 0 1 36
"36" 2 1 1 0 1 54
"37" 0 0 0 1 1 13
"38" 1 0 0 1 1 20
"39" 2 0 0 1 1 13
"40" 0 1 0 1 1 33
"41" 1 1 0 1 1 23
"42" 2 1 0 1 1 27
"43" 0 0 1 1 1 12
"44" 1 0 1 1 1 23
"45" 2 0 1 1 1 16
"46" 0 1 1 1 1 27
"47" 1 1 1 1 1 23
"48" 2 1 1 1 1 29
