"Level" "Male" "Night" "Wet" "Distraction" "Count"
"1" 1 0 0 0 -3 12
"2" 2 0 0 0 -3 6
"3" 0 1 0 0 -3 3
"4" 1 0 1 0 -3 12
"5" 2 0 1 0 -3 6
"6" 0 1 1 0 -3 3
"7" 1 0 0 1 -3 6
"8" 2 0 0 1 -3 3
"9" 0 1 0 1 -3 3
"10" 1 0 1 1 -3 6
"11" 2 0 1 1 -3 3
"12" 0 1 1 1 -3 3
"13" 0 0 0 0 -2 3
"14" 1 0 0 0 -2 18
"15" 2 0 0 0 -2 18
"16" 0 1 0 0 -2 18
"17" 1 1 0 0 -2 18
"18" 2 1 0 0 -2 18
"19" 0 0 1 0 -2 3
"20" 1 0 1 0 -2 18
"21" 2 0 1 0 -2 18
"22" 0 1 1 0 -2 18
"23" 1 1 1 0 -2 18
"24" 2 1 1 0 -2 18
"25" 0 0 0 1 -2 3
"26" 1 0 0 1 -2 9
"27" 2 0 0 1 -2 9
"28" 0 1 0 1 -2 18
"29" 1 1 0 1 -2 9
"30" 2 1 0 1 -2 9
"31" 0 0 1 1 -2 3
"32" 1 0 1 1 -2 9
"33" 2 0 1 1 -2 9
"34" 0 1 1 1 -2 18
"35" 1 1 1 1 -2 9
"36" 2 1 1 1 -2 9
"37" 0 0 0 0 -1 3
"38" 1 0 0 0 -1 6
"39" 2 0 0 0 -1 6
"40" 0 1 0 0 -1 9
"41" 1 1 0 0 -1 12
"42" 2 1 0 0 -1 12
"43" 0 0 1 0 -1 3
"44" 1 0 1 0 -1 6
"45" 2 0 1 0 -1 6
"46" 0 1 1 0 -1 9
"47" 1 1 1 0 -1 12
"48" 2 1 1 0 -1 12
"49" 0 0 0 1 -1 3
"50" 1 0 0 1 -1 3
"51" 2 0 0 1 -1 3
"52" 0 1 0 1 -1 9
"53" 1 1 0 1 -1 6
"54" 2 1 0 1 -1 6
"55" 0 0 1 1 -1 3
"56" 1 0 1 1 -1 3
"57" 2 0 1 1 -1 3
"58" 0 1 1 1 -1 9
"59" 1 1 1 1 -1 6
"60" 2 1 1 1 -1 6
"61" 0 0 0 0 0 3
"62" 1 0 0 0 0 6
"63" 0 1 0 0 0 9
"64" 1 1 0 0 0 6
"65" 2 1 0 0 0 12
"66" 0 0 1 0 0 3
"67" 1 0 1 0 0 6
"68" 0 1 1 0 0 9
"69" 1 1 1 0 0 6
"70" 2 1 1 0 0 12
"71" 0 0 0 1 0 3
"72" 1 0 0 1 0 3
"73" 0 1 0 1 0 9
"74" 1 1 0 1 0 3
"75" 2 1 0 1 0 6
"76" 0 0 1 1 0 3
"77" 1 0 1 1 0 3
"78" 0 1 1 1 0 9
"79" 1 1 1 1 0 3
"80" 2 1 1 1 0 6
"81" 0 0 0 0 1 6
"82" 2 0 0 0 1 6
"83" 0 1 0 0 1 3
"84" 1 1 0 0 1 12
"85" 2 1 0 0 1 18
"86" 0 0 1 0 1 6
"87" 2 0 1 0 1 6
"88" 0 1 1 0 1 3
"89" 1 1 1 0 1 12
"90" 2 1 1 0 1 18
"91" 0 0 0 1 1 6
"92" 2 0 0 1 1 3
"93" 0 1 0 1 1 3
"94" 1 1 0 1 1 6
"95" 2 1 0 1 1 9
"96" 0 0 1 1 1 6
"97" 2 0 1 1 1 3
"98" 0 1 1 1 1 3
"99" 1 1 1 1 1 6
"100" 2 1 1 1 1 9
"101" 1 0 0 0 2 6
"102" 1 1 0 0 2 12
"103" 2 1 0 0 2 18
"104" 1 0 1 0 2 6
"105" 1 1 1 0 2 12
"106" 2 1 1 0 2 18
"107" 1 0 0 1 2 3
"108" 1 1 0 1 2 6
"109" 2 1 0 1 2 9
"110" 1 0 1 1 2 3
"111" 1 1 1 1 2 6
"112" 2 1 1 1 2 9
"113" 1 1 0 0 3 6
"114" 2 1 0 0 3 6
"115" 1 1 1 0 3 6
"116" 2 1 1 0 3 6
"117" 1 1 0 1 3 3
"118" 2 1 0 1 3 3
"119" 1 1 1 1 3 3
"120" 2 1 1 1 3 3
