"Level" "Male" "Night" "Wet" "LD" "Distraction" "Count"
"1" 1 0 0 0 0 -3 2
"2" 2 0 0 0 0 -3 1
"3" 1 0 1 0 0 -3 4
"4" 2 0 1 0 0 -3 1
"5" 0 1 1 0 0 -3 2
"6" 1 0 0 1 0 -3 1
"7" 2 0 0 1 0 -3 1
"8" 0 1 0 1 0 -3 1
"9" 1 0 1 1 0 -3 1
"10" 2 0 1 1 0 -3 1
"11" 0 1 1 1 0 -3 1
"12" 1 0 0 0 1 -3 10
"13" 2 0 0 0 1 -3 5
"14" 0 1 0 0 1 -3 3
"15" 1 0 1 0 1 -3 8
"16" 2 0 1 0 1 -3 5
"17" 0 1 1 0 1 -3 1
"18" 1 0 0 1 1 -3 5
"19" 2 0 0 1 1 -3 2
"20" 0 1 0 1 1 -3 2
"21" 1 0 1 1 1 -3 5
"22" 2 0 1 1 1 -3 2
"23" 0 1 1 1 1 -3 2
"24" 0 0 0 0 0 -2 1
"25" 1 0 0 0 0 -2 4
"26" 2 0 0 0 0 -2 3
"27" 0 1 0 0 0 -2 4
"28" 1 1 0 0 0 -2 4
"29" 2 1 0 0 0 -2 3
"30" 1 0 1 0 0 -2 3
"31" 2 0 1 0 0 -2 6
"32" 0 1 1 0 0 -2 4
"33" 1 1 1 0 0 -2 8
"34" 2 1 1 0 0 -2 4
"35" 0 0 0 1 0 -2 1
"36" 1 0 0 1 0 -2 2
"37" 2 0 0 1 0 -2 2
"38" 0 1 0 1 0 -2 4
"39" 1 1 0 1 0 -2 2
"40" 2 1 0 1 0 -2 2
"41" 0 1 1 1 0 -2 5
"42" 1 1 1 1 0 -2 2
"43" 2 1 1 1 0 -2 2
"44" 0 0 0 0 1 -2 2
"45" 1 0 0 0 1 -2 14
"46" 2 0 0 0 1 -2 15
"47" 0 1 0 0 1 -2 14
"48" 1 1 0 0 1 -2 14
"49" 2 1 0 0 1 -2 15
"50" 0 0 1 0 1 -2 3
"51" 1 0 1 0 1 -2 15
"52" 2 0 1 0 1 -2 12
"53" 0 1 1 0 1 -2 14
"54" 1 1 1 0 1 -2 10
"55" 2 1 1 0 1 -2 14
"56" 0 0 0 1 1 -2 2
"57" 1 0 0 1 1 -2 7
"58" 2 0 0 1 1 -2 7
"59" 0 1 0 1 1 -2 14
"60" 1 1 0 1 1 -2 7
"61" 2 1 0 1 1 -2 7
"62" 0 0 1 1 1 -2 3
"63" 1 0 1 1 1 -2 9
"64" 2 0 1 1 1 -2 9
"65" 0 1 1 1 1 -2 13
"66" 1 1 1 1 1 -2 7
"67" 2 1 1 1 1 -2 7
"68" 0 0 0 0 0 -1 1
"69" 1 0 0 0 0 -1 3
"70" 2 0 0 0 0 -1 3
"71" 0 1 0 0 0 -1 2
"72" 1 1 0 0 0 -1 3
"73" 2 1 0 0 0 -1 3
"74" 0 0 1 0 0 -1 1
"75" 1 0 1 0 0 -1 2
"76" 0 1 1 0 0 -1 1
"77" 1 1 1 0 0 -1 3
"78" 2 1 1 0 0 -1 4
"79" 2 0 0 1 0 -1 1
"80" 0 1 0 1 0 -1 2
"81" 1 1 0 1 0 -1 2
"82" 2 1 0 1 0 -1 1
"83" 2 0 1 1 0 -1 1
"84" 0 1 1 1 0 -1 2
"85" 2 1 1 1 0 -1 2
"86" 0 0 0 0 1 -1 2
"87" 1 0 0 0 1 -1 3
"88" 2 0 0 0 1 -1 3
"89" 0 1 0 0 1 -1 7
"90" 1 1 0 0 1 -1 9
"91" 2 1 0 0 1 -1 9
"92" 0 0 1 0 1 -1 2
"93" 1 0 1 0 1 -1 4
"94" 2 0 1 0 1 -1 6
"95" 0 1 1 0 1 -1 8
"96" 1 1 1 0 1 -1 9
"97" 2 1 1 0 1 -1 8
"98" 0 0 0 1 1 -1 3
"99" 1 0 0 1 1 -1 3
"100" 2 0 0 1 1 -1 2
"101" 0 1 0 1 1 -1 7
"102" 1 1 0 1 1 -1 4
"103" 2 1 0 1 1 -1 5
"104" 0 0 1 1 1 -1 3
"105" 1 0 1 1 1 -1 3
"106" 2 0 1 1 1 -1 2
"107" 0 1 1 1 1 -1 7
"108" 1 1 1 1 1 -1 6
"109" 2 1 1 1 1 -1 4
"110" 0 0 0 0 0 0 1
"111" 1 0 0 0 0 0 1
"112" 0 1 0 0 0 0 4
"113" 1 1 0 0 0 0 3
"114" 2 1 0 0 0 0 3
"115" 0 0 1 0 0 0 1
"116" 1 0 1 0 0 0 2
"117" 0 1 1 0 0 0 2
"118" 1 1 1 0 0 0 2
"119" 2 1 1 0 0 0 1
"120" 0 0 0 1 0 0 1
"121" 1 0 0 1 0 0 1
"122" 0 1 0 1 0 0 2
"123" 2 1 0 1 0 0 2
"124" 0 0 1 1 0 0 2
"125" 0 1 1 1 0 0 6
"126" 1 1 1 1 0 0 1
"127" 2 1 1 1 0 0 2
"128" 0 0 0 0 1 0 2
"129" 1 0 0 0 1 0 5
"130" 0 1 0 0 1 0 5
"131" 1 1 0 0 1 0 3
"132" 2 1 0 0 1 0 9
"133" 0 0 1 0 1 0 2
"134" 1 0 1 0 1 0 4
"135" 0 1 1 0 1 0 7
"136" 1 1 1 0 1 0 4
"137" 2 1 1 0 1 0 11
"138" 0 0 0 1 1 0 2
"139" 1 0 0 1 1 0 2
"140" 0 1 0 1 1 0 7
"141" 1 1 0 1 1 0 3
